"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000023828.4",539.112354039933,2.70490345876176,0.464973866382265,5.8173236268251,5.97973019445735e-09,6.4596923027352e-06,"Slc22a3","20519"
"ENSMUSG00000033847.16",75.8519707652227,-3.63697373656291,0.62556466468671,-5.81390532725237,6.10319397246142e-09,6.4596923027352e-06,"Pla2g4c","232889"
"ENSMUSG00000072949.7",7327.65607217871,3.22039390259263,0.558851806134143,5.76251855544622,8.28679290440936e-09,8.28357026272431e-06,"Acot1","26897"
"ENSMUSG00000031765.9",16718.0177115071,2.14544683528915,0.373577690458527,5.74297365738261,9.30282036763252e-09,8.809770888148e-06,"Mt1","17748"
"ENSMUSG00000002289.17",12199.8108167202,3.64078123743661,0.643479063836464,5.65796378164977,1.53179449342688e-08,1.37807891601149e-05,"Angptl4","57875"
"ENSMUSG00000089712.3",284.930786144465,2.68515654523286,0.47556831156196,5.64620577097264,1.64027508263987e-08,1.40540331247329e-05,"Gm15889","115486954"
"ENSMUSG00000031635.15",98.0382461248606,-3.78480164200181,0.68615387153951,-5.51596631453806,3.46868699523336e-08,2.83691295932881e-05,"Anxa10","26359"
"ENSMUSG00000037974.17",292.691401930681,-6.0472160243626,1.09930328250107,-5.50095330435501,3.77743251494359e-08,2.95510188006e-05,"Muc5ac","17833"
"ENSMUSG00000056293.13",346.735012560183,-3.20938383066697,0.589989595178839,-5.43972954250852,5.33615162162094e-08,4.0005573386594e-05,"Gsdmc2","331063"
"ENSMUSG00000026639.19",2985.61771241781,2.02727108359829,0.373778521111396,5.42372279062582,5.8370382155392e-08,4.20103314448788e-05,"Lamb3","16780"
"ENSMUSG00000033174.18",948.331043547884,3.03988127783195,0.567631127175275,5.35538157140787,8.53760520350529e-08,5.90835117025657e-05,"Mgll","23945"
"ENSMUSG00000091736.4",34.3486272098848,8.65962576643317,1.64805118275375,5.25446409495831,1.48456102790039e-07,9.89322465741177e-05,"Yy2","100073351"
"ENSMUSG00000092232.2",67.0059171490074,3.92791452090845,0.749022504799576,5.24405407813412,1.57086125405332e-07,0.000100944666229219,NA,NA
"ENSMUSG00000039405.8",1778.13968754605,1.9400583959519,0.372691331424681,5.20553667973889,1.93436732232035e-07,0.000120017487001759,"Prss23","76453"
"ENSMUSG00000052353.14",282.838621326793,4.03657609810451,0.77818926627662,5.18713926422836,2.13549038974235e-07,0.000128079595275447,"Cemip","80982"
