"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000098773.2",33.2822596796792,-8.50896144427893,1.62005099062964,-5.25228001679864,1.50227837905725e-07,3.61912198446038e-05,"Gm27179","118567354"
"ENSMUSG00000112489.2",354.424158848313,1.78010303161296,0.339056596136608,5.25016487482152,1.51963133049165e-07,3.61912198446038e-05,"9230116L04Rik","321017"
"ENSMUSG00000023828.4",463.466441500053,1.86295298585136,0.355613395088255,5.23870307356961,1.61708970848316e-07,3.80121087318768e-05,"Slc22a3","20519"
"ENSMUSG00000031448.13",46.2387080951094,3.61008749691516,0.690625107084663,5.22727520311914,1.72026355029571e-07,3.96398915177136e-05,"Adprhl1","234072"
"ENSMUSG00000053113.4",1147.14376184529,1.99504868896736,0.381880370973095,5.22427660757648,1.74837259148164e-07,3.96398915177136e-05,"Socs3","12702"
"ENSMUSG00000028980.15",2059.97570803851,1.44106080475012,0.275950604806984,5.22216940150607,1.76839081062489e-07,3.96398915177136e-05,"H6pd","100198"
"ENSMUSG00000002944.16",6570.49546512959,1.84446447101251,0.35323813174366,5.22158936213324,1.77393989664906e-07,3.96398915177136e-05,"Cd36","12491"
"ENSMUSG00000025889.14",221.049995431281,-2.77587586378554,0.531902658641923,-5.21876666469956,1.80118507956113e-07,3.97578657805568e-05,"Snca","20617"
"ENSMUSG00000030577.15",277.075505775632,-2.18897314035963,0.421168045688115,-5.19738656047191,2.02109798436321e-07,4.40745464059929e-05,"Cd22","12483"
"ENSMUSG00000070686.11",65.7028902953211,-3.93505394749482,0.757865919523835,-5.19228249499226,2.0773148603047e-07,4.47611892518037e-05,"Pramel34","381654"
"ENSMUSG00000020893.18",1952.36874665469,1.30877306430868,0.252848627827757,5.17611297934441,2.2655629649169e-07,4.82431643117599e-05,"Per1","18626"
"ENSMUSG00000027890.18",2478.91633874714,-1.78365627627266,0.346682889037408,-5.14492157725211,2.67632589763288e-07,5.6327324124599e-05,"Gstm4","14865"
"ENSMUSG00000060615.6",14893.616824189,1.28101347704762,0.250046848926233,5.12309386240468,3.00562632800955e-07,6.25308465942217e-05,"Ang4","219033"
"ENSMUSG00000025608.10",67.7199939321375,2.70826076678715,0.531018644788961,5.1001236837239,3.39431602577926e-07,6.98149091665961e-05,"Podxl","27205"
"ENSMUSG00000022041.11",84.2009629320296,2.88973894044898,0.572217866109427,5.05006766058641,4.41653604255818e-07,8.98194408655091e-05,"Chrna2","110902"
"ENSMUSG00000117294.2",85.160121304626,3.04163606769335,0.604850630782136,5.02873918435067,4.93715390953147e-07,9.92916508472439e-05,NA,NA
"ENSMUSG00000071356.8",155302.794095579,4.56356741657515,0.912575216548884,5.00075756367058,5.71054835368263e-07,0.000112383655093847,"Reg3b","18489"
"ENSMUSG00000030711.17",231.351279563571,2.38305598708385,0.476544689054047,5.00069781873822,5.71231838046075e-07,0.000112383655093847,"Sult1a1","20887"
"ENSMUSG00000041132.12",1587.51003357957,1.5426612534282,0.310333965713048,4.97097135301855,6.66182931927145e-07,0.000129654957719154,"N4bp2l1","100637"
"ENSMUSG00000011305.12",55.9944177827624,3.19690469307855,0.647657020645497,4.9361075247703,7.96971793416863e-07,0.000153459462349417,"Plin5","66968"
"ENSMUSG00000021509.6",153.255851098285,-3.09989193467199,0.628661000166829,-4.93094359893388,8.18333609094278e-07,0.000155914087627436,"Slc25a48","328258"
"ENSMUSG00000027870.9",108.227295591019,-2.20700728707997,0.448429490681929,-4.92163725388303,8.58231797506445e-07,0.000161812453488194,"Hao2","56185"
